text,bbox,sqyd_area
FL00R PL4NS,"[[2070   52]
 [2265   52]
 [2265   95]
 [2070   95]]",
TYPE B3,"[[ 34  70]
 [198  70]
 [198 120]
 [ 34 120]]",
3BHK,"[[ 36 118]
 [110 118]
 [110 150]
 [ 36 150]]",
SB4,"[[ 36 150]
 [ 92 150]
 [ 92 182]
 [ 36 182]]",
1498 SFT,"[[104 150]
 [218 150]
 [218 182]
 [104 182]]",
B4LC0NY,"[[1679  139]
 [1801  139]
 [1801  177]
 [1679  177]]",
C4RPET 4RE4,"[[ 36 184]
 [204 184]
 [204 216]
 [ 36 216]]",
1001 SFT,"[[216 184]
 [330 184]
 [330 216]
 [216 216]]",
B4THR00M 02,"[[511 217]
 [695 217]
 [695 255]
 [511 255]]",
BEDR00M 02/,"[[735 219]
 [903 219]
 [903 255]
 [735 255]]",
BEDR00M03,"[[1327  219]
 [1497  219]
 [1497  255]
 [1327  255]]",
"11'-0"" x 4'-8""","[[1659  219]
 [1817  219]
 [1817  257]
 [1659  257]]",5.703698
"4' 9"" X 8'6""","[[531 297]
 [677 297]
 [677 333]
 [531 333]]",4.486106625
"11'-0"" x 11'4""","[[735 297]
 [901 297]
 [901 333]
 [735 333]]",13.851838
"10'3"" x 11' 4""","[[1327  297]
 [1495  297]
 [1495  333]
 [1327  333]]",12.9073945
LIVING,"[[1695  679]
 [1791  679]
 [1791  715]
 [1695  715]]",
"11'-0"" X 17'1""","[[1659  755]
 [1825  755]
 [1825  791]
 [1659  791]]",20.87960875
DINING,"[[1354  824]
 [1454  824]
 [1454  856]
 [1354  856]]",
BEDR00M01,"[[317 837]
 [483 837]
 [483 873]
 [317 873]]",
"8'.9"" X 10'-6","[[1323  895]
 [1473  895]
 [1473  935]
 [1323  935]]",10.208323125
"11'-0"" x13'0""","[[313 913]
 [477 913]
 [477 953]
 [313 953]]",15.888873
B4THR00M 017,"[[ 717 1097]
 [ 903 1097]
 [ 903 1133]
 [ 717 1133]]",
B4THR00M 03,"[[ 925 1097]
 [1105 1097]
 [1105 1133]
 [ 925 1133]]",
1450 X 2600:,"[[ 938 1138]
 [1092 1138]
 [1092 1170]
 [ 938 1170]]",
F0YER,"[[1821 1151]
 [1909 1151]
 [1909 1187]
 [1821 1187]]",
"5' 1""x 8'-6""","[[ 737 1170]
 [ 882 1170]
 [ 882 1209]
 [ 737 1209]]",4.800921125
"4"" 9"" X 8'-6","[[ 943 1171]
 [1079 1171]
 [1079 1209]
 [ 943 1209]]",4.486106625
1,"[[2008 1170]
 [2036 1170]
 [2036 1274]
 [2008 1274]]",
UTILTY,"[[1127 1273]
 [1235 1273]
 [1235 1309]
 [1127 1309]]",
KITCHEN,"[[1377 1273]
 [1495 1273]
 [1495 1309]
 [1377 1309]]",
"4' 11"" x5'g""","[[1103 1344]
 [1258 1344]
 [1258 1387]
 [1103 1387]]",
"8'- 10"" x 8' 2""","[[1357 1349]
 [1515 1349]
 [1515 1385]
 [1357 1385]]",8.015424083333333
WING 4,"[[ 396 1374]
 [ 614 1374]
 [ 614 1446]
 [ 396 1446]]",
1 SERIES,"[[ 392 1440]
 [ 638 1440]
 [ 638 1512]
 [ 392 1512]]",
