,text,bbox,sqyd_area
0,FL00R PL4NS,"[[2341   51]
 [2560   51]
 [2560   88]
 [2341   88]]",
1,TYPE B3,"[[ 38  63]
 [221  63]
 [221 111]
 [ 38 111]]",
2,SBHK,"[[ 42 109]
 [121 109]
 [121 140]
 [ 42 140]]",
3,SB4,"[[ 42 140]
 [103 140]
 [103 170]
 [ 42 170]]",
4,1498 SFT,"[[117 140]
 [247 140]
 [247 170]
 [117 170]]",
5,B4LC0NY,"[[1899  132]
 [2033  132]
 [2033  164]
 [1899  164]]",
6,C4RPET4RE4,"[[ 40 170]
 [229 170]
 [229 203]
 [ 40 203]]",
7,1001 SFT,"[[245 170]
 [371 170]
 [371 203]
 [245 203]]",
8,B4THR00M 02,"[[578 205]
 [782 205]
 [782 237]
 [578 237]]",
9,BEDR00M 02,"[[ 830  205]
 [1017  205]
 [1017  237]
 [ 830  237]]",
10,BEDR00M03,"[[1501  205]
 [1689  205]
 [1689  237]
 [1501  237]]",
11,"11'-0"" x 4'-8""","[[1877  204]
 [2054  204]
 [2054  241]
 [1877  241]]",5.703698
12,"4'9"" X8'-6""","[[601 278]
 [761 278]
 [761 308]
 [601 308]]",4.486106625
13,"11'-0"" X 11""-4""","[[ 832  278]
 [1017  278]
 [1017  310]
 [ 832  310]]",13.851838
14,"10'-3"" X11'4""","[[1501  278]
 [1687  278]
 [1687  310]
 [1501  310]]",12.9073945
15,LVING,"[[1917  637]
 [2023  637]
 [2023  670]
 [1917  670]]",
16,"11'-0"" X 17'-1""","[[1876  708]
 [2061  708]
 [2061  741]
 [1876  741]]",20.87960875
17,DINING,"[[1529  771]
 [1643  771]
 [1643  802]
 [1529  802]]",
18,BEDR00M 01,"[[359 786]
 [544 786]
 [544 818]
 [359 818]]",
19,"8' 9"" x10'-6""","[[1496  837]
 [1676  837]
 [1676  877]
 [1496  877]]",10.208323125
20,"11'-0"" x13'-0""","[[356 856]
 [545 856]
 [545 892]
 [356 892]]",15.888873
21,B4THR00M 01,"[[ 812 1027]
 [1017 1027]
 [1017 1060]
 [ 812 1060]]",
22,B4THR00M 03,"[[1048 1027]
 [1249 1027]
 [1249 1060]
 [1048 1060]]",
23,F0YER,"[[2059 1076]
 [2158 1076]
 [2158 1115]
 [2059 1115]]",
24,"5' 1"" x 8'-6""","[[ 833 1095]
 [ 994 1095]
 [ 994 1132]
 [ 833 1132]]",4.800921125
25,"4"" 9"" x 8'-6""","[[1065 1095]
 [1227 1095]
 [1227 1132]
 [1065 1132]]",4.486106625
26,1,"[[2268 1094]
 [2301 1094]
 [2301 1194]
 [2268 1194]]",
27,UTILTY,"[[1275 1194]
 [1393 1194]
 [1393 1226]
 [1275 1226]]",
28,KITCHEN,"[[1557 1191]
 [1688 1191]
 [1688 1227]
 [1557 1227]]",
29,"4'-11"" x 5'9""","[[1245 1259]
 [1420 1259]
 [1420 1300]
 [1245 1300]]",3.1412005625
30,"8'-10"" x 8' 2""","[[1534 1262]
 [1713 1262]
 [1713 1298]
 [1534 1298]]",8.015424083333333
31,WING 4,"[[ 450 1286]
 [ 689 1286]
 [ 689 1355]
 [ 450 1355]]",
32,1 SERIES,"[[ 443 1347]
 [ 717 1347]
 [ 717 1416]
 [ 443 1416]]",
